"CTY" "CLRS" "Shape.Reported" "State" "Time"
"39828" "Jamesport" "" "OVAL" "NY" "4/25/2007 7:30"
"39879" "New York City" "" "CIRCLE" "NY" "5/1/2007 3:00"
"39892" "New York City" "" "TRIANGLE" "NY" "5/2/2007 20:00"
"39899" "Saranac Inn" "" "LIGHT" "NY" "5/3/2007 2:45"
"39907" "Buffalo" "ORANGE" "LIGHT" "NY" "5/3/2007 23:00"
"39911" "Syracuse" "" "LIGHT" "NY" "5/4/2007 22:30"
"39918" "Riverhead" "" "CIRCLE" "NY" "5/5/2007 13:30"
"39919" "New York City" "" "CIRCLE" "NY" "5/5/2007 16:00"
"39925" "New York City" "" "OVAL" "NY" "5/6/2007 15:30"
"39934" "New York City" "" "SPHERE" "NY" "5/7/2007 14:01"
"39949" "New York City" "" "SPHERE" "NY" "5/8/2007 15:45"
"39950" "Westchester" "" "DISK" "NY" "5/8/2007 18:21"
"39955" "Larchmont" "" "LIGHT" "NY" "5/8/2007 23:15"
"39959" "Stamford" "" "OVAL" "NY" "5/9/2007 9:30"
"39998" "New York City" "" "" "NY" "5/13/2007 18:20"
"40003" "New York City" "" "LIGHT" "NY" "5/14/2007 19:30"
"40004" "New York City" "" "LIGHT" "NY" "5/14/2007 21:00"
"40010" "Rexford" "" "DISK" "NY" "5/15/2007 10:10"
"40073" "Albany" "" "EGG" "NY" "5/23/2007 23:30"
"40106" "Lakemont" "" "CIRCLE" "NY" "5/28/2007 11:00"
"40116" "New York City" "" "LIGHT" "NY" "5/29/2007 21:35"
"40119" "New York City" "BLUE" "" "NY" "5/30/2007 14:18"
"40147" "Hempstead" "" "" "NY" "6/3/2007 17:00"
"40171" "New York City" "" "LIGHT" "NY" "6/5/2007 22:32"
"40178" "Hudson Falls" "" "LIGHT" "NY" "6/6/2007 21:03"
"40179" "Jericho" "" "OTHER" "NY" "6/6/2007 21:15"
"40210" "East Aurora" "RED" "CIRCLE" "NY" "6/9/2007 21:00"
"40230" "Oxford" "" "CIRCLE" "NY" "6/11/2007 3:00"
"40285" "New York City" "" "DISK" "NY" "6/16/2007 5:20"
"40298" "Merrick" "" "OVAL" "NY" "6/17/2007 19:30"
"40360" "Newburgh" "" "LIGHT" "NY" "6/20/2007 21:23"
"40406" "New York City" "" "CIRCLE" "NY" "6/23/2007 17:00"
"40417" "Heuvelton" "" "TRIANGLE" "NY" "6/23/2007 23:30"
"40486" "New York City" "" "TRIANGLE" "NY" "6/30/2007 18:35"
"40603" "Mamaroneck" "" "SPHERE" "NY" "7/7/2007 10:21"
"40663" "New York City" "" "LIGHT" "NY" "7/12/2007 1:45"
"40675" "East Northport" "" "CIRCLE" "NY" "7/13/2007 11:30"
"40770" "New York City" "BLUE" "DISK" "NY" "7/20/2007 19:00"
"40771" "Peekskill" "" "LIGHT" "NY" "7/20/2007 20:30"
"40785" "Cheektowaga" "" "LIGHT" "NY" "7/21/2007 8:30"
"40792" "Melville" "" "RECTANGLE" "NY" "7/21/2007 20:30"
"40805" "Blossvale" "RED GREEN BLUE" "CIRCLE" "NY" "7/22/2007 2:00"
"40812" "Melville" "" "RECTANGLE" "NY" "7/22/2007 20:30"
"40823" "East Aurora" "" "RECTANGLE" "NY" "7/23/2007 23:00"
"40863" "Holbrook" "RED" "TRIANGLE" "NY" "7/27/2007 23:30"
"40887" "Buffalo" "" "CIRCLE" "NY" "7/30/2007 5:15"
"40896" "Jamaica" "" "DISK" "NY" "7/31/2007 2:45"
"40914" "Pecks Lake" "ORANGE" "" "NY" "8/2/2007 21:15"
"40928" "Buffalo" "" "CIRCLE" "NY" "8/3/2007 21:30"
"40943" "Brockport" "" "LIGHT" "NY" "8/4/2007 21:39"
"40944" "Rochester" "" "CIRCLE" "NY" "8/4/2007 22:00"
"40948" "Binghamton" "" "SPHERE" "NY" "8/5/2007 17:00"
"40987" "Plattsburg" "" "CIRCLE" "NY" "8/10/2007 3:00"
"40995" "Greenwich" "" "TRIANGLE" "NY" "8/10/2007 21:00"
"41039" "New York City" "" "OVAL" "NY" "8/12/2007 18:30"
"41065" "Nassau County" "" "" "NY" "8/13/2007 23:00"
"41077" "Queensbury" "" "CIRCLE" "NY" "8/14/2007 23:00"
"41108" "Lindenhurst" "" "LIGHT" "NY" "8/16/2007 19:44"
"41111" "Wantagh" "" "OTHER" "NY" "8/16/2007 22:13"
"41113" "New York City" "BLUE" "FIREBALL" "NY" "8/16/2007 22:50"
"41130" "Mastic Beach" "" "LIGHT" "NY" "8/18/2007 4:40"
"41135" "Westport" "" "DISK" "NY" "8/18/2007 21:45"
"41148" "Gansevoort" "" "" "NY" "8/19/2007 20:05"
"41160" "Lagrange" "" "DIAMOND" "NY" "8/20/2007 1:15"
"41178" "Greece" "RED GREEN" "CYLINDER" "NY" "8/20/2007 23:43"
"41179" "Greece" "RED GREEN" "CYLINDER" "NY" "8/20/2007 23:43"
"41210" "Little Valley" "" "RECTANGLE" "NY" "8/23/2007 23:00"
"41237" "Victor" "" "FLASH" "NY" "8/26/2007 20:40"
"41264" "Yaphank" "" "EGG" "NY" "8/28/2007 13:25"
"41272" "Wappingers Falls" "" "OVAL" "NY" "8/28/2007 22:00"
"41279" "Carle Place" "" "OVAL" "NY" "8/29/2007 21:00"
"41280" "Carle Place" "" "OVAL" "NY" "8/29/2007 21:00"
"41315" "Briarwood" "" "CIGAR" "NY" "9/1/2007 15:37"
"41392" "New York City" "" "" "NY" "9/7/2007 0:00"
"41408" "Buffalo" "" "OVAL" "NY" "9/8/2007 23:30"
"41444" "Ravena" "" "LIGHT" "NY" "9/12/2007 5:30"
"41445" "Ravena" "" "TEARDROP" "NY" "9/12/2007 5:30"
"41453" "Roseboom" "" "DISK" "NY" "9/13/2007 2:00"
"41508" "New York City" "RED" "LIGHT" "NY" "9/16/2007 1:40"
"41511" "Endicott" "" "TEARDROP" "NY" "9/16/2007 13:00"
"41518" "Bay Shore" "" "FORMATION" "NY" "9/17/2007 1:00"
"41540" "Rome" "RED BLUE" "RECTANGLE" "NY" "9/18/2007 5:00"
"41549" "Rensselaer" "" "VARIOUS" "NY" "9/19/2007 22:00"
"41556" "Bridgeport" "" "OTHER" "NY" "9/20/2007 18:50"
"41638" "Bayside" "RED" "TRIANGLE" "NY" "9/25/2007 22:15"
"41708" "Deer Park" "" "OTHER" "NY" "10/1/2007 21:00"
"41728" "Mount Vernon" "" "SPHERE" "NY" "10/3/2007 16:58"
"41763" "New York City" "" "CIGAR" "NY" "10/6/2007 4:00"
"41818" "Owego" "" "TRIANGLE" "NY" "10/10/2007 13:00"
"41841" "New York City" "" "LIGHT" "NY" "10/12/2007 5:30"
"41882" "New York City" "" "TEARDROP" "NY" "10/15/2007 18:00"
"41893" "Kingston" "" "LIGHT" "NY" "10/16/2007 15:00"
"41895" "Utica" "" "TRIANGLE" "NY" "10/16/2007 19:30"
"41952" "Sanborn" "" "" "NY" "10/21/2007 1:00"
"41963" "Castile" "" "TEARDROP" "NY" "10/21/2007 18:30"
"41985" "Williamsville" "" "TRIANGLE" "NY" "10/23/2007 11:30"
"41987" "Brentwood" "" "OVAL" "NY" "10/23/2007 13:30"
"41997" "New York City" "" "FORMATION" "NY" "10/24/2007 6:12"
"42040" "New York City" "" "LIGHT" "NY" "10/28/2007 5:00"
"42052" "Margaretville" "" "CIRCLE" "NY" "10/28/2007 23:15"
"42064" "Bedford" "" "TRIANGLE" "NY" "10/29/2007 20:53"
"42067" "Bolton" "RED" "FIREBALL" "NY" "10/30/2007 2:00"
"42072" "New York City" "" "OVAL" "NY" "10/30/2007 17:05"
"42082" "Highland" "GREEN" "FIREBALL" "NY" "10/31/2007 2:45"
"42083" "Middle Island" "" "FIREBALL" "NY" "10/31/2007 3:00"
"42131" "New York City" "RED" "CYLINDER" "NY" "11/3/2007 15:20"
"42141" "New Rochelle" "" "LIGHT" "NY" "11/4/2007 4:25"
"42195" "Goshen" "" "TRIANGLE" "NY" "11/7/2007 22:00"
"42253" "East Fishkill" "" "FLASH" "NY" "11/12/2007 16:38"
"42283" "Claverack" "" "CROSS" "NY" "11/14/2007 3:38"
"42314" "New York City" "" "FIREBALL" "NY" "11/17/2007 1:43"
"42323" "Rochester" "" "FIREBALL" "NY" "11/18/2007 3:30"
"42329" "Buffalo" "" "LIGHT" "NY" "11/18/2007 22:00"
"42341" "Huntington Station" "" "CIRCLE" "NY" "11/21/2007 0:55"
"42358" "New York City" "" "CIRCLE" "NY" "11/23/2007 4:30"
"42368" "New York City" "" "LIGHT" "NY" "11/23/2007 23:00"
"42381" "Islip" "" "FLASH" "NY" "11/26/2007 17:18"
"42431" "Mayville" "" "TEARDROP" "NY" "12/1/2007 9:00"
"42432" "Tupper Lake" "" "CIRCLE" "NY" "12/1/2007 9:30"
"42436" "Mayville" "" "TEARDROP" "NY" "12/1/2007 15:00"
"42509" "Jamaica" "" "OVAL" "NY" "12/9/2007 5:45"
"42531" "Albany" "" "CIGAR" "NY" "12/10/2007 19:00"
"42556" "Stony Point" "" "DISK" "NY" "12/11/2007 11:00"
"42596" "Elmhurst" "" "TRIANGLE" "NY" "12/14/2007 5:30"
"42651" "Flushing" "RED" "TRIANGLE" "NY" "12/21/2007 22:00"
"42684" "New York City" "" "" "NY" "12/24/2007 2:00"
"42868" "Byron" "" "" "NY" "1/9/2008 21:58"
"42875" "Lindenhurst" "" "CIRCLE" "NY" "1/10/2008 6:00"
"42879" "Poughkeepsie" "" "OTHER" "NY" "1/10/2008 20:05"
"42883" "Bergen" "" "FORMATION" "NY" "1/11/2008 6:00"
"42885" "Carmel" "RED" "OTHER" "NY" "1/11/2008 11:00"
"42957" "Riverhead" "" "" "NY" "1/16/2008 11:30"
"42967" "Newburgh" "" "TRIANGLE" "NY" "1/17/2008 6:04"
"42977" "New Hampton" "RED YELLOW" "CIRCLE" "NY" "1/18/2008 18:00"
"42981" "Brunswick" "" "" "NY" "1/18/2008 19:30"
"42985" "Riverhead" "" "CIRCLE" "NY" "1/18/2008 20:00"
"43021" "Newburgh" "" "OTHER" "NY" "1/21/2008 4:00"
"43032" "Clarence" "" "FIREBALL" "NY" "1/22/2008 6:46"
"43045" "Smithtown" "" "DISK" "NY" "1/23/2008 19:10"
"43052" "White Plains" "" "OVAL" "NY" "1/24/2008 17:00"
"43059" "Waddington" "ORANGE" "LIGHT" "NY" "1/24/2008 19:00"
"43098" "Briarwood" "RED" "CIRCLE" "NY" "1/27/2008 14:00"
"43113" "no data" "" "CIRCLE" "NY" "1/28/2008 17:55"
"43114" "Ballston Spa" "" "CIRCLE" "NY" "1/28/2008 18:20"
"43136" "Kings Park" "" "TRIANGLE" "NY" "1/30/2008 19:21"
"43150" "New York" "" "DISK" "NY" "1/31/2008 7:30"
"43173" "New York City" "" "CROSS" "NY" "2/2/2008 6:20"
"43176" "Islandia" "" "CIRCLE" "NY" "2/2/2008 13:00"
"43212" "New York City" "" "LIGHT" "NY" "2/7/2008 6:00"
"43213" "New York City" "" "" "NY" "2/7/2008 6:33"
"43308" "Rockaway Beach" "" "DIAMOND" "NY" "2/16/2008 3:35"
"43320" "Hastings On Hudson" "YELLOW" "SPHERE" "NY" "2/17/2008 1:20"
"43333" "St. James" "" "" "NY" "2/18/2008 1:30"
"43399" "Purdy" "" "EGG" "NY" "2/21/2008 19:30"
"43431" "Sayville" "" "LIGHT" "NY" "2/25/2008 9:00"
"43435" "Jericho" "" "OTHER" "NY" "2/25/2008 18:58"
"43443" "Mastic" "" "RECTANGLE" "NY" "2/26/2008 1:00"
"43475" "Washingtonville" "" "FIREBALL" "NY" "2/28/2008 19:30"
"43567" "Maybrook" "ORANGE" "DISK" "NY" "3/8/2008 19:30"
"43596" "Bergen" "" "CHEVRON" "NY" "3/10/2008 22:10"
"43607" "Black River" "" "SPHERE" "NY" "3/12/2008 0:00"
"43654" "Potsdam" "" "VARIOUS" "NY" "3/17/2008 20:45"
"43656" "Yonkers" "" "RECTANGLE" "NY" "3/17/2008 22:00"
"43663" "Cherry Valley" "" "SPHERE" "NY" "3/18/2008 21:00"
"43715" "Liverpool" "" "OVAL" "NY" "3/23/2008 8:30"
"43728" "Campbell Hall" "" "TRIANGLE" "NY" "3/24/2008 5:00"
"43732" "Hamlin" "" "SPHERE" "NY" "3/24/2008 20:07"
"43751" "Jamestown" "YELLOW BLUE" "LIGHT" "NY" "3/25/2008 23:00"
"43793" "Flushing" "" "CYLINDER" "NY" "3/30/2008 14:00"
"43798" "Sayville" "RED GREEN" "DISK" "NY" "3/30/2008 22:30"
"43799" "Mattituck" "" "TRIANGLE" "NY" "3/30/2008 22:45"
"43818" "New York City" "" "LIGHT" "NY" "4/2/2008 20:30"
"43882" "Glen Cove" "" "" "NY" "4/8/2008 22:45"
"43901" "Hague" "RED GREEN" "TRIANGLE" "NY" "4/10/2008 21:45"
"43927" "Commack" "" "LIGHT" "NY" "4/12/2008 21:20"
"44014" "Croghan" "" "FORMATION" "NY" "4/17/2008 20:30"
"44100" "Horseheads" "RED GREEN" "CIRCLE" "NY" "4/22/2008 21:40"
"44107" "Orchard Park" "" "VARIOUS" "NY" "4/23/2008 0:00"
"44114" "Riverhead" "" "CYLINDER" "NY" "4/23/2008 18:00"
"44131" "Thornwood" "" "LIGHT" "NY" "4/24/2008 19:49"
"44191" "Phelps" "" "CIGAR" "NY" "4/29/2008 14:30"
"44234" "Canton" "" "LIGHT" "NY" "5/3/2008 21:00"
"44245" "Levittown" "BLUE" "DISK" "NY" "5/4/2008 9:30"
"44266" "Dryden" "" "TRIANGLE" "NY" "5/6/2008 6:30"
"44285" "Kingston" "" "DIAMOND" "NY" "5/9/2008 3:25"
"44340" "Medina" "ORANGE" "VARIOUS" "NY" "5/15/2008 22:00"
"44345" "New York City" "" "LIGHT" "NY" "5/16/2008 1:55"
"44402" "Syracuse" "" "LIGHT" "NY" "5/20/2008 23:35"
"44415" "Johnson City" "" "LIGHT" "NY" "5/22/2008 19:50"
"44432" "North Merrick" "RED" "OVAL" "NY" "5/24/2008 0:00"
"44475" "Jamaica" "" "CIRCLE" "NY" "5/29/2008 0:00"
"44479" "Uniondale" "" "FLASH" "NY" "5/29/2008 11:00"
"44522" "Cold Spring" "" "LIGHT" "NY" "6/2/2008 10:30"
"44617" "Geneva" "RED" "LIGHT" "NY" "6/9/2008 1:30"
"44627" "Rhinebeck" "" "CIGAR" "NY" "6/10/2008 0:00"
"44629" "Rhinebeck" "" "CIGAR" "NY" "6/10/2008 7:37"
"44643" "Newburgh" "" "FLASH" "NY" "6/11/2008 7:35"
"44680" "pjs" "" "LIGHT" "NY" "6/14/2008 1:00"
"44706" "Dundee" "" "" "NY" "6/15/2008 3:00"
"44744" "New York City" "" "" "NY" "6/18/2008 10:30"
"44799" "New York City" "" "" "NY" "6/21/2008 18:45"
"44804" "Shoreham" "" "CIRCLE" "NY" "6/21/2008 22:30"
"44830" "New York City" "" "SPHERE" "NY" "6/23/2008 21:30"
"44859" "Long Lake" "" "LIGHT" "NY" "6/26/2008 0:00"
"44860" "Northport" "" "FORMATION" "NY" "6/26/2008 11:00"
"44865" "Dix Hills" "" "CIRCLE" "NY" "6/26/2008 23:30"
"44880" "Northport" "" "SPHERE" "NY" "6/28/2008 3:00"
"44884" "Auburn" "" "CIRCLE" "NY" "6/28/2008 20:50"
"44893" "Liberty" "YELLOW" "DISK" "NY" "6/29/2008 3:00"
"44902" "King Ferry" "" "OTHER" "NY" "6/30/2008 1:30"
"44905" "Highland" "" "TRIANGLE" "NY" "6/30/2008 3:00"
"44915" "Bohemia" "BLUE" "DISK" "NY" "6/30/2008 16:00"
"44945" "Mt. Sinai" "" "FIREBALL" "NY" "7/2/2008 19:50"
"44955" "New York City" "" "TRIANGLE" "NY" "7/3/2008 1:30"
"44978" "New York City" "" "SPHERE" "NY" "7/4/2008 12:23"
"45009" "Port Jefferson" "ORANGE" "SPHERE" "NY" "7/4/2008 22:15"
"45034" "New York City" "" "DISK" "NY" "7/5/2008 0:00"
"45044" "Guilderland" "" "CIRCLE" "NY" "7/5/2008 19:30"
"45093" "Eden" "ORANGE BLUE" "" "NY" "7/8/2008 9:40"
"45098" "New York City" "" "EGG" "NY" "7/9/2008 1:30"
"45108" "Green Island" "" "LIGHT" "NY" "7/10/2008 11:55"
"45110" "Glenmont" "" "SPHERE" "NY" "7/10/2008 17:30"
"45129" "Saint Johnsville" "" "TRIANGLE" "NY" "7/12/2008 0:00"
"45195" "Merrick" "RED" "OVAL" "NY" "7/15/2008 20:00"
"45198" "Buffalo" "RED YELLOW" "OVAL" "NY" "7/15/2008 21:30"
"45207" "Amagansett" "" "" "NY" "7/16/2008 11:00"
"45248" "Mumford" "" "CIGAR" "NY" "7/19/2008 14:00"
"45262" "Buffalo" "" "LIGHT" "NY" "7/20/2008 22:00"
"45267" "Buffalo" "" "RECTANGLE" "NY" "7/21/2008 2:00"
"45312" "Buffalo" "" "RECTANGLE" "NY" "7/24/2008 22:55"
"45316" "Bayside" "" "SPHERE" "NY" "7/25/2008 1:15"
"45318" "Fulton" "" "" "NY" "7/25/2008 2:45"
"45338" "Fulton" "ORANGE" "SPHERE" "NY" "7/26/2008 0:00"
"45341" "East Greenbush" "RED" "LIGHT" "NY" "7/26/2008 1:58"
"45344" "Seneca Falls" "ORANGE" "FIREBALL" "NY" "7/26/2008 9:30"
"45387" "Northville" "" "CIRCLE" "NY" "7/30/2008 22:30"
"45410" "Leeds" "" "DIAMOND" "NY" "7/31/2008 23:00"
"45427" "Kingston" "" "CIRCLE" "NY" "8/1/2008 21:30"
"45450" "Schenectady" "" "LIGHT" "NY" "8/2/2008 17:53"
"45463" "Oceanside" "" "OVAL" "NY" "8/2/2008 22:40"
"45481" "Long Beach" "" "OVAL" "NY" "8/3/2008 22:00"
"45502" "Westchester County" "" "LIGHT" "NY" "8/4/2008 21:45"
"45541" "Waverly" "" "LIGHT" "NY" "8/7/2008 22:15"
"45546" "Eden" "" "CIRCLE" "NY" "8/8/2008 0:00"
"45560" "Kingsbury" "ORANGE" "SPHERE" "NY" "8/8/2008 21:00"
"45565" "Altomont" "ORANGE" "CIRCLE" "NY" "8/8/2008 22:30"
"45586" "Hancock" "" "LIGHT" "NY" "8/9/2008 22:15"
"45636" "Seneca Falls" "" "LIGHT" "NY" "8/13/2008 20:35"
"45641" "Fort Drum" "RED GREEN BLUE" "TRIANGLE" "NY" "8/14/2008 0:25"
"45659" "Amherst" "" "OTHER" "NY" "8/15/2008 1:00"
"45673" "Newark Valley" "" "LIGHT" "NY" "8/16/2008 5:45"
"45684" "New York City" "" "DISK" "NY" "8/17/2008 12:00"
"45692" "Walden-Newburg" "" "CIRCLE" "NY" "8/17/2008 23:00"
"45734" "Buffalo" "" "CIRCLE" "NY" "8/21/2008 20:15"
"45735" "Cornu" "RED GREEN" "TRIANGLE" "NY" "8/21/2008 21:30"
"45772" "Chappaqua" "" "OTHER" "NY" "8/24/2008 20:32"
"45774" "Branchport" "" "FIREBALL" "NY" "8/24/2008 21:15"
"45779" "New York City" "" "VARIOUS" "NY" "8/25/2008 9:30"
"45780" "Johnson City" "" "OTHER" "NY" "8/25/2008 18:00"
"45783" "Athens" "" "TEARDROP" "NY" "8/25/2008 22:30"
"45789" "Johnson City" "" "CIGAR" "NY" "8/26/2008 16:30"
"45792" "Rochester" "" "FORMATION" "NY" "8/26/2008 21:15"
"45811" "Appalachin" "" "OVAL" "NY" "8/28/2008 6:38"
"45823" "Clay" "" "TRIANGLE" "NY" "8/29/2008 20:30"
"45832" "Williamsville" "YELLOW" "OTHER" "NY" "8/30/2008 19:40"
"45838" "Oriskany Falls" "" "FIREBALL" "NY" "8/30/2008 22:30"
"45848" "Lindenhurst" "" "LIGHT" "NY" "8/31/2008 2:25"
"45853" "Bohemia" "" "TRIANGLE" "NY" "8/31/2008 20:50"
"45859" "New York City" "" "" "NY" "8/31/2008 22:15"
"45861" "Montauk" "RED" "CIRCLE" "NY" "8/31/2008 23:15"
"45864" "Syracuse" "RED" "LIGHT" "NY" "9/1/2008 20:30"
"45872" "Vestal" "" "EGG" "NY" "9/2/2008 3:36"
"45873" "Buffalo" "RED" "LIGHT" "NY" "9/2/2008 11:19"
"45877" "Potsdam" "" "LIGHT" "NY" "9/2/2008 21:15"
"45910" "Pomona" "" "LIGHT" "NY" "9/6/2008 0:30"
"45921" "Pomona" "" "LIGHT" "NY" "9/7/2008 0:30"
"45934" "Lake Grove" "" "" "NY" "9/9/2008 3:00"
"45974" "Babylon" "" "" "NY" "9/14/2008 0:00"
"45986" "Syosset" "" "DISK" "NY" "9/14/2008 18:00"
"45987" "Canajoharie" "" "" "NY" "9/14/2008 18:58"
"45991" "Russell" "" "" "NY" "9/14/2008 22:25"
"46007" "DeKalb Junction" "RED YELLOW" "LIGHT" "NY" "9/16/2008 20:30"
"46043" "Flushing" "" "CIGAR" "NY" "9/19/2008 11:00"
"46047" "New York City" "" "CYLINDER" "NY" "9/19/2008 20:30"
"46058" "Chester" "" "" "NY" "9/20/2008 11:00"
"46094" "Lee Center" "" "LIGHT" "NY" "9/22/2008 20:00"
"46110" "Ronkonkoma" "RED" "FLASH" "NY" "9/23/2008 21:00"
"46199" "Merrick" "" "DISK" "NY" "10/1/2008 1:00"
"46229" "Middletown" "" "LIGHT" "NY" "10/2/2008 19:52"
"46234" "Monroe" "RED" "TRIANGLE" "NY" "10/2/2008 23:00"
"46236" "Schenectady" "" "LIGHT" "NY" "10/3/2008 8:13"
"46238" "New Paltz" "" "CIRCLE" "NY" "10/3/2008 11:00"
"46247" "Candor" "" "TRIANGLE" "NY" "10/3/2008 21:35"
"46271" "Victor" "" "SPHERE" "NY" "10/6/2008 22:00"
"46279" "Ronkonkoma" "RED YELLOW GREEN" "EGG" "NY" "10/7/2008 19:00"
"46287" "Schenectady" "" "TRIANGLE" "NY" "10/7/2008 23:00"
"46330" "Slingerlands" "ORANGE" "CIRCLE" "NY" "10/10/2008 2:00"
"46333" "Albany" "" "OVAL" "NY" "10/10/2008 6:00"
"46360" "Islip" "" "LIGHT" "NY" "10/12/2008 5:20"
"46367" "Syracuse" "" "CYLINDER" "NY" "10/12/2008 15:30"
"46389" "Boonville" "RED" "FORMATION" "NY" "10/14/2008 20:00"
"46398" "Liberty" "" "LIGHT" "NY" "10/15/2008 5:25"
"46404" "Ballston Lake" "" "OTHER" "NY" "10/15/2008 16:40"
"46442" "Cornwall" "" "DISK" "NY" "10/18/2008 8:05"
"46523" "Madrid" "" "LIGHT" "NY" "10/23/2008 20:30"
"46533" "Poughkeepsie" "RED" "CHEVRON" "NY" "10/23/2008 23:00"
"46600" "Chenango Forks" "" "CIRCLE" "NY" "10/28/2008 15:00"
"46647" "College Point" "" "TRIANGLE" "NY" "10/30/2008 8:00"
"46703" "New York City" "ORANGE" "SPHERE" "NY" "11/1/2008 19:00"
"46724" "Glenwood" "" "LIGHT" "NY" "11/2/2008 17:45"
"46730" "North Tonawanda" "" "LIGHT" "NY" "11/2/2008 20:00"
"46763" "Throop" "" "LIGHT" "NY" "11/6/2008 0:30"
"46854" "Latham" "" "SPHERE" "NY" "11/14/2008 4:28"
"46860" "Orchard Park" "" "OTHER" "NY" "11/14/2008 18:30"
"46893" "Grahamsville" "" "LIGHT" "NY" "11/17/2008 4:00"
"46900" "Stony Brook" "" "FLASH" "NY" "11/17/2008 17:30"
"46901" "Stony Brook" "" "SPHERE" "NY" "11/17/2008 18:00"
"46935" "Henrietta" "" "LIGHT" "NY" "11/19/2008 16:00"
"46939" "Bayside" "" "RECTANGLE" "NY" "11/19/2008 18:30"
"47076" "Huntington" "" "LIGHT" "NY" "11/28/2008 18:30"
"47094" "Oneonta" "" "" "NY" "11/30/2008 2:00"
"47121" "Brewerton" "" "DISK" "NY" "12/2/2008 21:00"
"47143" "Cheektowaga" "" "LIGHT" "NY" "12/4/2008 21:30"
"47201" "Buffalo" "" "TRIANGLE" "NY" "12/10/2008 23:05"
"47213" "Orchard Park" "" "SPHERE" "NY" "12/13/2008 15:45"
"47230" "Bethpage" "" "CIGAR" "NY" "12/14/2008 10:15"
"47231" "Plainview" "" "CIGAR" "NY" "12/14/2008 10:30"
"47241" "Kings Park" "" "" "NY" "12/15/2008 18:50"
"47244" "Syracuse" "" "" "NY" "12/16/2008 4:00"
"47246" "Middletown" "" "TRIANGLE" "NY" "12/16/2008 7:45"
"47260" "Seaford" "" "" "NY" "12/17/2008 23:00"
"47317" "Rochester" "" "OTHER" "NY" "12/24/2008 20:01"
"47331" "Hudson Falls" "" "CIGAR" "NY" "12/27/2008 13:19"
"47369" "Northport" "" "LIGHT" "NY" "12/29/2008 18:40"
"47438" "New York City" "" "DISK" "NY" "1/2/2009 23:15"
"47441" "Lake George" "" "FORMATION" "NY" "1/3/2009 9:00"
"47453" "East Norwich" "GREEN" "OVAL" "NY" "1/3/2009 23:35"
"47469" "New York City" "" "" "NY" "1/5/2009 20:30"
"47546" "New York City" "" "OTHER" "NY" "1/13/2009 4:20"
"47566" "Little Neck Bay" "" "VARIOUS" "NY" "1/13/2009 23:09"
"47596" "New Paltz" "" "LIGHT" "NY" "1/15/2009 20:00"
"47598" "Commack" "GREEN" "LIGHT" "NY" "1/15/2009 21:00"
"47620" "Rensselaer" "" "TRIANGLE" "NY" "1/16/2009 22:00"
"47678" "Deer Park" "" "DISK" "NY" "1/20/2009 2:26"
"47700" "Centereach" "" "DIAMOND" "NY" "1/21/2009 20:10"
"47756" "Armonk" "" "" "NY" "1/25/2009 20:38"
"47761" "West Shokan" "" "FIREBALL" "NY" "1/26/2009 16:30"
"47762" "Scarsdale" "" "DISK" "NY" "1/26/2009 19:30"
"47784" "Nassau" "" "LIGHT" "NY" "1/28/2009 20:00"
"47787" "Averill Park" "" "LIGHT" "NY" "1/28/2009 23:00"
"47865" "Yorktown Heights," "" "CIRCLE" "NY" "2/3/2009 14:28"
"47872" "South New Belrin" "RED BLUE" "LIGHT" "NY" "2/3/2009 19:30"
"47881" "New York City" "" "DISK" "NY" "2/4/2009 12:00"
"47885" "Canandaigua" "" "" "NY" "2/4/2009 20:00"
"47910" "New York City" "" "FIREBALL" "NY" "2/6/2009 12:03"
"47916" "Watkins Glen" "" "LIGHT" "NY" "2/6/2009 20:00"
"47939" "Waterloo" "" "SPHERE" "NY" "2/8/2009 20:20"
"47942" "Syracuse" "" "LIGHT" "NY" "2/9/2009 6:20"
"47993" "New York City" "" "LIGHT" "NY" "2/13/2009 19:55"
"48002" "Oak Hill" "" "LIGHT" "NY" "2/13/2009 22:16"
"48041" "New Baltimore" "BLUE" "LIGHT" "NY" "2/16/2009 19:30"
"48049" "Rockland County" "" "OVAL" "NY" "2/17/2009 16:15"
"48078" "New York City" "" "LIGHT" "NY" "2/20/2009 5:10"
"48091" "Canandaigua" "RED" "" "NY" "2/21/2009 2:00"
"48094" "Astoria" "" "LIGHT" "NY" "2/21/2009 20:00"
"48146" "Shirley" "" "CIRCLE" "NY" "2/26/2009 12:00"
"48161" "Commack" "ORANGE" "DIAMOND" "NY" "2/27/2009 17:00"
"48166" "East Fishkill" "" "OVAL" "NY" "2/27/2009 23:30"
"48176" "Hudson Falls" "ORANGE" "SPHERE" "NY" "3/1/2009 14:23"
"48196" "Hartsdale" "RED GREEN" "TRIANGLE" "NY" "3/4/2009 18:55"
"48223" "Montauk" "" "OTHER" "NY" "3/7/2009 16:14"
"48238" "New York City" "" "LIGHT" "NY" "3/8/2009 19:30"
"48248" "Montgomery" "" "TRIANGLE" "NY" "3/10/2009 20:50"
"48258" "New York City" "" "DIAMOND" "NY" "3/12/2009 1:30"
"48263" "New York City" "GREEN" "LIGHT" "NY" "3/12/2009 21:00"
"48286" "Rochester" "ORANGE" "FIREBALL" "NY" "3/15/2009 0:30"
